trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
GRACIAS KENIA OS 2022,http://twitter.com/search?q=%22GRACIAS+KENIA+OS+2022%22,NA,%22GRACIAS+KENIA+OS+2022%22,NA,Naucalpan de Juárez,134395,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Feliz Año Nuevo,http://twitter.com/search?q=%22Feliz+A%C3%B1o+Nuevo%22,NA,%22Feliz+A%C3%B1o+Nuevo%22,727944,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Happy New Year,http://twitter.com/search?q=%22Happy+New+Year%22,NA,%22Happy+New+Year%22,2004067,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Gracias 2022,http://twitter.com/search?q=%22Gracias+2022%22,NA,%22Gracias+2022%22,153555,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
El 2022,http://twitter.com/search?q=%22El+2022%22,NA,%22El+2022%22,474061,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Bienvenido 2023,http://twitter.com/search?q=%22Bienvenido+2023%22,NA,%22Bienvenido+2023%22,27282,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Este 2023,http://twitter.com/search?q=%22Este+2023%22,NA,%22Este+2023%22,392339,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
#jhopeAtRockinEve,http://twitter.com/search?q=%23jhopeAtRockinEve,NA,%23jhopeAtRockinEve,241281,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
#jhopeAtNYRE,http://twitter.com/search?q=%23jhopeAtNYRE,NA,%23jhopeAtNYRE,262296,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
hobi,http://twitter.com/search?q=hobi,NA,hobi,344605,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
#ForeverNE,http://twitter.com/search?q=%23ForeverNE,NA,%23ForeverNE,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Benedicto XVI,http://twitter.com/search?q=%22Benedicto+XVI%22,NA,%22Benedicto+XVI%22,66013,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Chicharito,http://twitter.com/search?q=Chicharito,NA,Chicharito,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Adiós 2022,http://twitter.com/search?q=%22Adi%C3%B3s+2022%22,NA,%22Adi%C3%B3s+2022%22,44897,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Gracias Benito,http://twitter.com/search?q=%22Gracias+Benito%22,NA,%22Gracias+Benito%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
#뉴이어락킹이브with제이홉,http://twitter.com/search?q=%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,NA,%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,183122,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
#Welcome2023,http://twitter.com/search?q=%23Welcome2023,NA,%23Welcome2023,146299,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Yonaguni,http://twitter.com/search?q=Yonaguni,NA,Yonaguni,19327,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Happy 2023,http://twitter.com/search?q=%22Happy+2023%22,NA,%22Happy+2023%22,729121,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Hola 2023,http://twitter.com/search?q=%22Hola+2023%22,NA,%22Hola+2023%22,17442,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Ciudad Juárez,http://twitter.com/search?q=%22Ciudad+Ju%C3%A1rez%22,NA,%22Ciudad+Ju%C3%A1rez%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
J-HOPE THE STAR OF 2022,http://twitter.com/search?q=%22J-HOPE+THE+STAR+OF+2022%22,NA,%22J-HOPE+THE+STAR+OF+2022%22,94847,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Que 2023,http://twitter.com/search?q=%22Que+2023%22,NA,%22Que+2023%22,464166,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Un 2023,http://twitter.com/search?q=%22Un+2023%22,NA,%22Un+2023%22,782466,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Silva,http://twitter.com/search?q=Silva,NA,Silva,143601,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
UNAM,http://twitter.com/search?q=UNAM,NA,UNAM,141037,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
hoseok,http://twitter.com/search?q=hoseok,NA,hoseok,208773,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
JUNGKOOK BIGGER THAN KPOP,http://twitter.com/search?q=%22JUNGKOOK+BIGGER+THAN+KPOP%22,NA,%22JUNGKOOK+BIGGER+THAN+KPOP%22,61511,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Página 1 de 365,http://twitter.com/search?q=%22P%C3%A1gina+1+de+365%22,NA,%22P%C3%A1gina+1+de+365%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Mi 2022,http://twitter.com/search?q=%22Mi+2022%22,NA,%22Mi+2022%22,122905,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Mac Jones,http://twitter.com/search?q=%22Mac+Jones%22,NA,%22Mac+Jones%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
EVE WITH TXT,http://twitter.com/search?q=%22EVE+WITH+TXT%22,NA,%22EVE+WITH+TXT%22,46394,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Bad Bunny,http://twitter.com/search?q=%22Bad+Bunny%22,NA,%22Bad+Bunny%22,72327,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Aniquiladores,http://twitter.com/search?q=Aniquiladores,NA,Aniquiladores,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
FAITH IS OUR BUSINESS,http://twitter.com/search?q=%22FAITH+IS+OUR+BUSINESS%22,NA,%22FAITH+IS+OUR+BUSINESS%22,21776,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Pelé,http://twitter.com/search?q=Pel%C3%A9,NA,Pel%C3%A9,120282,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Patriots,http://twitter.com/search?q=Patriots,NA,Patriots,62599,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Mike Evans,http://twitter.com/search?q=%22Mike+Evans%22,NA,%22Mike+Evans%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Michigan,http://twitter.com/search?q=Michigan,NA,Michigan,228436,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Galilea Montijo,http://twitter.com/search?q=%22Galilea+Montijo%22,NA,%22Galilea+Montijo%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Excelente 2023,http://twitter.com/search?q=%22Excelente+2023%22,NA,%22Excelente+2023%22,15337,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Mahomes,http://twitter.com/search?q=Mahomes,NA,Mahomes,13714,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Bendiciones,http://twitter.com/search?q=Bendiciones,NA,Bendiciones,119296,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Joseph Ratzinger,http://twitter.com/search?q=%22Joseph+Ratzinger%22,NA,%22Joseph+Ratzinger%22,11058,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Notario,http://twitter.com/search?q=Notario,NA,Notario,35051,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Wentz,http://twitter.com/search?q=Wentz,NA,Wentz,23008,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Daniel Jones,http://twitter.com/search?q=%22Daniel+Jones%22,NA,%22Daniel+Jones%22,14644,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Valle de México,http://twitter.com/search?q=%22Valle+de+M%C3%A9xico%22,NA,%22Valle+de+M%C3%A9xico%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Baez,http://twitter.com/search?q=Baez,NA,Baez,62972,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Pats,http://twitter.com/search?q=Pats,NA,Pats,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
GRACIAS KENIA OS 2022,http://twitter.com/search?q=%22GRACIAS+KENIA+OS+2022%22,NA,%22GRACIAS+KENIA+OS+2022%22,NA,Nezahualcóyotl,116564,2023-01-02T02:41:07Z,2022-12-29T06:05:24Z
Feliz Año Nuevo,http://twitter.com/search?q=%22Feliz+A%C3%B1o+Nuevo%22,NA,%22Feliz+A%C3%B1o+Nuevo%22,727944,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Happy New Year,http://twitter.com/search?q=%22Happy+New+Year%22,NA,%22Happy+New+Year%22,2004067,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Gracias 2022,http://twitter.com/search?q=%22Gracias+2022%22,NA,%22Gracias+2022%22,153555,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
El 2022,http://twitter.com/search?q=%22El+2022%22,NA,%22El+2022%22,474061,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bienvenido 2023,http://twitter.com/search?q=%22Bienvenido+2023%22,NA,%22Bienvenido+2023%22,27282,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Este 2023,http://twitter.com/search?q=%22Este+2023%22,NA,%22Este+2023%22,393170,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#jhopeAtRockinEve,http://twitter.com/search?q=%23jhopeAtRockinEve,NA,%23jhopeAtRockinEve,241266,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#jhopeAtNYRE,http://twitter.com/search?q=%23jhopeAtNYRE,NA,%23jhopeAtNYRE,262318,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
hobi,http://twitter.com/search?q=hobi,NA,hobi,344605,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Benedicto XVI,http://twitter.com/search?q=%22Benedicto+XVI%22,NA,%22Benedicto+XVI%22,66013,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#ForeverNE,http://twitter.com/search?q=%23ForeverNE,NA,%23ForeverNE,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Chicharito,http://twitter.com/search?q=Chicharito,NA,Chicharito,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Gracias Benito,http://twitter.com/search?q=%22Gracias+Benito%22,NA,%22Gracias+Benito%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Adiós 2022,http://twitter.com/search?q=%22Adi%C3%B3s+2022%22,NA,%22Adi%C3%B3s+2022%22,44897,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#뉴이어락킹이브with제이홉,http://twitter.com/search?q=%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,NA,%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,183122,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#Welcome2023,http://twitter.com/search?q=%23Welcome2023,NA,%23Welcome2023,146299,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Yonaguni,http://twitter.com/search?q=Yonaguni,NA,Yonaguni,19327,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Happy 2023,http://twitter.com/search?q=%22Happy+2023%22,NA,%22Happy+2023%22,729121,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Hola 2023,http://twitter.com/search?q=%22Hola+2023%22,NA,%22Hola+2023%22,17442,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Ciudad Juárez,http://twitter.com/search?q=%22Ciudad+Ju%C3%A1rez%22,NA,%22Ciudad+Ju%C3%A1rez%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
J-HOPE THE STAR OF 2022,http://twitter.com/search?q=%22J-HOPE+THE+STAR+OF+2022%22,NA,%22J-HOPE+THE+STAR+OF+2022%22,94847,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Que 2023,http://twitter.com/search?q=%22Que+2023%22,NA,%22Que+2023%22,449749,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Un 2023,http://twitter.com/search?q=%22Un+2023%22,NA,%22Un+2023%22,782466,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Lula,http://twitter.com/search?q=Lula,NA,Lula,1065281,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
UNAM,http://twitter.com/search?q=UNAM,NA,UNAM,141037,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mac Jones,http://twitter.com/search?q=%22Mac+Jones%22,NA,%22Mac+Jones%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
hoseok,http://twitter.com/search?q=hoseok,NA,hoseok,208773,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Página 1 de 365,http://twitter.com/search?q=%22P%C3%A1gina+1+de+365%22,NA,%22P%C3%A1gina+1+de+365%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mi 2022,http://twitter.com/search?q=%22Mi+2022%22,NA,%22Mi+2022%22,122905,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
EVE WITH TXT,http://twitter.com/search?q=%22EVE+WITH+TXT%22,NA,%22EVE+WITH+TXT%22,46399,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
JUNGKOOK BIGGER THAN KPOP,http://twitter.com/search?q=%22JUNGKOOK+BIGGER+THAN+KPOP%22,NA,%22JUNGKOOK+BIGGER+THAN+KPOP%22,61511,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bad Bunny,http://twitter.com/search?q=%22Bad+Bunny%22,NA,%22Bad+Bunny%22,72327,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Aniquiladores,http://twitter.com/search?q=Aniquiladores,NA,Aniquiladores,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
FAITH IS OUR BUSINESS,http://twitter.com/search?q=%22FAITH+IS+OUR+BUSINESS%22,NA,%22FAITH+IS+OUR+BUSINESS%22,21776,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Wentz,http://twitter.com/search?q=Wentz,NA,Wentz,23970,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mike Evans,http://twitter.com/search?q=%22Mike+Evans%22,NA,%22Mike+Evans%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Pelé,http://twitter.com/search?q=Pel%C3%A9,NA,Pel%C3%A9,120282,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Patriots,http://twitter.com/search?q=Patriots,NA,Patriots,62599,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Pats,http://twitter.com/search?q=Pats,NA,Pats,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Michigan,http://twitter.com/search?q=Michigan,NA,Michigan,228436,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Galilea Montijo,http://twitter.com/search?q=%22Galilea+Montijo%22,NA,%22Galilea+Montijo%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Excelente 2023,http://twitter.com/search?q=%22Excelente+2023%22,NA,%22Excelente+2023%22,15337,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mahomes,http://twitter.com/search?q=Mahomes,NA,Mahomes,13714,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bendiciones,http://twitter.com/search?q=Bendiciones,NA,Bendiciones,119296,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Joseph Ratzinger,http://twitter.com/search?q=%22Joseph+Ratzinger%22,NA,%22Joseph+Ratzinger%22,11074,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Notario,http://twitter.com/search?q=Notario,NA,Notario,35122,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Valle de México,http://twitter.com/search?q=%22Valle+de+M%C3%A9xico%22,NA,%22Valle+de+M%C3%A9xico%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Baez,http://twitter.com/search?q=Baez,NA,Baez,62972,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Daniel Jones,http://twitter.com/search?q=%22Daniel+Jones%22,NA,%22Daniel+Jones%22,13983,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
GRACIAS KENIA OS 2022,http://twitter.com/search?q=%22GRACIAS+KENIA+OS+2022%22,NA,%22GRACIAS+KENIA+OS+2022%22,NA,Puebla,137612,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Feliz Año Nuevo,http://twitter.com/search?q=%22Feliz+A%C3%B1o+Nuevo%22,NA,%22Feliz+A%C3%B1o+Nuevo%22,727944,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Happy New Year,http://twitter.com/search?q=%22Happy+New+Year%22,NA,%22Happy+New+Year%22,2004067,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Gracias 2022,http://twitter.com/search?q=%22Gracias+2022%22,NA,%22Gracias+2022%22,153415,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
El 2022,http://twitter.com/search?q=%22El+2022%22,NA,%22El+2022%22,474061,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bienvenido 2023,http://twitter.com/search?q=%22Bienvenido+2023%22,NA,%22Bienvenido+2023%22,27282,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Este 2023,http://twitter.com/search?q=%22Este+2023%22,NA,%22Este+2023%22,393170,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#jhopeAtRockinEve,http://twitter.com/search?q=%23jhopeAtRockinEve,NA,%23jhopeAtRockinEve,241266,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#jhopeAtNYRE,http://twitter.com/search?q=%23jhopeAtNYRE,NA,%23jhopeAtNYRE,262318,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
hobi,http://twitter.com/search?q=hobi,NA,hobi,344605,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Benedicto XVI,http://twitter.com/search?q=%22Benedicto+XVI%22,NA,%22Benedicto+XVI%22,66013,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#ForeverNE,http://twitter.com/search?q=%23ForeverNE,NA,%23ForeverNE,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Chicharito,http://twitter.com/search?q=Chicharito,NA,Chicharito,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Adiós 2022,http://twitter.com/search?q=%22Adi%C3%B3s+2022%22,NA,%22Adi%C3%B3s+2022%22,44897,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Gracias Benito,http://twitter.com/search?q=%22Gracias+Benito%22,NA,%22Gracias+Benito%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#뉴이어락킹이브with제이홉,http://twitter.com/search?q=%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,NA,%23%EB%89%B4%EC%9D%B4%EC%96%B4%EB%9D%BD%ED%82%B9%EC%9D%B4%EB%B8%8Cwith%EC%A0%9C%EC%9D%B4%ED%99%89,183113,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
#Welcome2023,http://twitter.com/search?q=%23Welcome2023,NA,%23Welcome2023,146299,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Yonaguni,http://twitter.com/search?q=Yonaguni,NA,Yonaguni,19327,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Happy 2023,http://twitter.com/search?q=%22Happy+2023%22,NA,%22Happy+2023%22,727052,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Hola 2023,http://twitter.com/search?q=%22Hola+2023%22,NA,%22Hola+2023%22,17442,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Ciudad Juárez,http://twitter.com/search?q=%22Ciudad+Ju%C3%A1rez%22,NA,%22Ciudad+Ju%C3%A1rez%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
J-HOPE THE STAR OF 2022,http://twitter.com/search?q=%22J-HOPE+THE+STAR+OF+2022%22,NA,%22J-HOPE+THE+STAR+OF+2022%22,94847,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Que 2023,http://twitter.com/search?q=%22Que+2023%22,NA,%22Que+2023%22,464166,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Un 2023,http://twitter.com/search?q=%22Un+2023%22,NA,%22Un+2023%22,782466,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
UNAM,http://twitter.com/search?q=UNAM,NA,UNAM,141037,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Silva,http://twitter.com/search?q=Silva,NA,Silva,143601,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
hoseok,http://twitter.com/search?q=hoseok,NA,hoseok,208773,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
JUNGKOOK BIGGER THAN KPOP,http://twitter.com/search?q=%22JUNGKOOK+BIGGER+THAN+KPOP%22,NA,%22JUNGKOOK+BIGGER+THAN+KPOP%22,61377,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Página 1 de 365,http://twitter.com/search?q=%22P%C3%A1gina+1+de+365%22,NA,%22P%C3%A1gina+1+de+365%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mi 2022,http://twitter.com/search?q=%22Mi+2022%22,NA,%22Mi+2022%22,123062,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mac Jones,http://twitter.com/search?q=%22Mac+Jones%22,NA,%22Mac+Jones%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
EVE WITH TXT,http://twitter.com/search?q=%22EVE+WITH+TXT%22,NA,%22EVE+WITH+TXT%22,46399,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bad Bunny,http://twitter.com/search?q=%22Bad+Bunny%22,NA,%22Bad+Bunny%22,72327,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Aniquiladores,http://twitter.com/search?q=Aniquiladores,NA,Aniquiladores,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
FAITH IS OUR BUSINESS,http://twitter.com/search?q=%22FAITH+IS+OUR+BUSINESS%22,NA,%22FAITH+IS+OUR+BUSINESS%22,21776,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Pelé,http://twitter.com/search?q=Pel%C3%A9,NA,Pel%C3%A9,120282,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Patriots,http://twitter.com/search?q=Patriots,NA,Patriots,62599,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mike Evans,http://twitter.com/search?q=%22Mike+Evans%22,NA,%22Mike+Evans%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Michigan,http://twitter.com/search?q=Michigan,NA,Michigan,228436,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Galilea Montijo,http://twitter.com/search?q=%22Galilea+Montijo%22,NA,%22Galilea+Montijo%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Excelente 2023,http://twitter.com/search?q=%22Excelente+2023%22,NA,%22Excelente+2023%22,15337,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Mahomes,http://twitter.com/search?q=Mahomes,NA,Mahomes,13714,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Bendiciones,http://twitter.com/search?q=Bendiciones,NA,Bendiciones,119296,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Joseph Ratzinger,http://twitter.com/search?q=%22Joseph+Ratzinger%22,NA,%22Joseph+Ratzinger%22,11074,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Notario,http://twitter.com/search?q=Notario,NA,Notario,35051,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Wentz,http://twitter.com/search?q=Wentz,NA,Wentz,23970,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Valle de México,http://twitter.com/search?q=%22Valle+de+M%C3%A9xico%22,NA,%22Valle+de+M%C3%A9xico%22,NA,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Baez,http://twitter.com/search?q=Baez,NA,Baez,62972,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
Daniel Jones,http://twitter.com/search?q=%22Daniel+Jones%22,NA,%22Daniel+Jones%22,14644,Querétaro,138045,2023-01-02T02:41:08Z,2022-12-29T06:05:24Z
